race,distance,latitude,longitude,elevation,elevation_delta
10 km,3.9435342716837,55.741400000000006,37.57226,130.60000000000002,3.5900000000000176
10 km,4.021113733615987,55.74202250379028,37.57281497347385,131.60000000000002,1.0
10 km,4.098693203461964,55.74264500507948,37.57336996465408,132.44,0.839999999999975
10 km,4.176272681217061,55.74326750386743,37.573924973541594,133.03,0.5900000000000034
10 km,4.253852147692399,55.74389000000001,37.57448,133.89000000000001,0.8600000000000136
10 km,4.320269124721296,55.74443500068927,37.57490999394555,135.21,1.3199999999999932
10 km,4.386686122654063,55.744980000000005,37.575340000000004,136.0,0.789999999999992
10 km,4.392181693722488,55.745000000000005,37.57526,123.00000000000001,-12.999999999999986
10 km,4.416122135634843,55.745200000000004,37.5754,123.00000000000001,0.0
10 km,4.4273264812107715,55.74530000000001,37.57542,123.00000000000001,0.0
10 km,4.470674488572953,55.74531,37.57611,131.0,7.999999999999986
10 km,4.476707638090549,55.74528,37.576190000000004,131.0,0.0
10 km,4.483615906765925,55.74528,37.5763,131.0,0.0
10 km,4.498306124978876,55.74541000000001,37.57634,131.0,0.0
10 km,4.526567130145937,55.74541000000001,37.57679,140.0,9.0
10 km,4.613075174414227,55.7455900072748,37.578129993704465,141.0,1.0
10 km,4.699583235916141,55.74577000000001,37.57947,146.24,5.240000000000009
10 km,4.7267937169506204,55.7458,37.5799,148.00000000000003,1.7600000000000193
10 km,4.781801837075241,55.74566000000001,37.580740000000006,151.75000000000003,3.75
10 km,4.847081482282075,55.74550000000001,37.58174,155.0,3.2499999999999716
10 km,4.864149064369112,55.74541000000001,37.58196,153.78,-1.2199999999999989
10 km,4.907972756121965,55.74530000000001,37.58263,152.00000000000003,-1.7799999999999727
10 km,4.9183927779375445,55.74526,37.58278,152.00000000000003,0.0
10 km,4.93716615131659,55.745140000000006,37.58299,152.00000000000003,0.0
10 km,5.0127972306931685,55.74448000032938,37.583275004820855,148.00000000000003,-4.0
10 km,5.088428301801448,55.74382000000001,37.583560000000006,141.0,-7.000000000000028
10 km,5.177427053945454,55.74304000047226,37.58387000616397,143.66,2.6599999999999966
10 km,5.266425813448937,55.74226,37.58418,144.0,0.3400000000000034
10 km,5.280421694031884,55.74224,37.583960000000005,144.99,0.9900000000000091
10 km,5.359002901788011,55.74154000000001,37.584120000000006,141.0,-3.990000000000009
10 km,5.431357453730729,55.7409,37.584320000000005,141.0,0.0
10 km,5.4506562925503115,55.740730000000006,37.58438,142.0,1.0
10 km,5.456177813016707,55.740700000000004,37.584450000000004,142.0,0.0
10 km,5.493815444336366,55.740370000000006,37.58458,142.0,0.0
10 km,5.4989287354641405,55.74033000000001,37.584540000000004,142.0,0.0
10 km,5.547847114472918,55.739900000000006,37.584700000000005,142.13,0.12999999999999545
10 km,5.6133368341321725,55.739335000106934,37.584990004318776,142.0,-0.12999999999999545
10 km,5.678826493356752,55.73877,37.585280000000004,141.0,-1.0
10 km,5.68332405446986,55.738730000000004,37.58529,141.0,0.0
10 km,5.687701504664953,55.738710000000005,37.585350000000005,141.0,0.0
10 km,5.720295571470444,55.73846,37.585620000000006,141.0,0.0
10 km,5.736617126373065,55.73836000000001,37.58581,141.0,0.0
10 km,5.742138855540856,55.73839,37.58588,140.0,-1.0
10 km,5.759244055455014,55.73841,37.58615,140.0,0.0
10 km,5.79161088952201,55.738220000000005,37.58654000000001,139.0,-1.0
10 km,5.860910696040498,55.737860000000005,37.58744,137.0,-2.0
10 km,5.948564259596471,55.737410005299715,37.58858501326151,137.25,0.25
10 km,6.036217807500879,55.73696,37.58973,136.0,-1.25
10 km,6.1164375130299415,55.736580004698915,37.59081501079514,135.42000000000002,-0.5799999999999841
