,pace_sec,half_pace_sec,age,time_hours,age_range,race_uniform_index,bib
3042,317.4783742149544,310.55812300035547,54,3.721111111111111,Señora(50-60),0.000815631444796,4101
7838,317.4783742149544,309.9893352292926,47,3.721111111111111,WTF Happened(40-49),0.000568007390085,9906
6910,317.50207370541534,315.013627207015,30,3.721388888888889,Cancha Reglamentaria(29-39),3.766582241691766e-05,8854
2294,317.50207370541534,327.9061500177746,29,3.721388888888889,Cancha Reglamentaria(29-39),0.0046380381991939,3163
6463,317.50207370541534,317.0517833866572,38,3.721388888888889,Cancha Reglamentaria(29-39),6.969884254867576e-05,8347
3986,317.50207370541534,312.78587510368527,44,3.721388888888889,WTF Happened(40-49),0.0001583247112137,5365
5936,317.5257731958763,315.6298139589999,32,3.7216666666666667,Cancha Reglamentaria(29-39),2.7325260723794395e-05,7735
2185,317.5257731958763,296.6702215902358,34,3.7216666666666667,Cancha Reglamentaria(29-39),0.0090398348541504,3016
1750,317.5257731958763,312.26448631354424,42,3.7216666666666667,WTF Happened(40-49),0.0002553061601125,2427
6306,317.54947268633725,322.8818580400521,30,3.7219444444444445,Cancha Reglamentaria(29-39),0.0003580691311499,8166
65,317.5731721767982,298.7083777698779,30,3.7222222222222223,Cancha Reglamentaria(29-39),0.0068019452964205,193
2310,317.5731721767982,294.20547458229646,54,3.7222222222222223,Señora(50-60),0.0129424738723099,3183
1185,317.5968716672592,315.86680886360944,33,3.7225,Cancha Reglamentaria(29-39),2.232106282907056e-05,1666
5739,317.5968716672592,305.8182249081645,39,3.7225,Cancha Reglamentaria(29-39),0.0018975832878128,7506
5987,317.5968716672592,316.0090058063752,41,3.7225,WTF Happened(40-49),2.4979038099299664e-05,7798
5382,317.5968716672592,316.4355966346724,26,3.7225,Dientes de leche(0-28),3.2485096873171273e-05,7066
6482,317.6205711577201,301.8841094916459,40,3.722777777777778,WTF Happened(40-49),0.0041179327408457,8367
6996,317.6442706481811,313.44946083659204,32,3.7230555555555553,Cancha Reglamentaria(29-39),0.0001331076840102,8949
7228,317.6442706481811,315.06102618793693,26,3.7230555555555553,Dientes de leche(0-28),8.646137710174623e-05,9210
6452,317.6442706481811,316.0564047872971,23,3.7230555555555553,Dientes de leche(0-28),1.853555279498295e-05,8336
4072,317.66797013864203,314.3026424931864,30,3.723333333333333,Cancha Reglamentaria(29-39),0.0007884478179726,5475
7490,317.66797013864203,292.356914326342,19,3.723333333333333,Dientes de leche(0-28),0.0125748895996587,9506
3772,317.66797013864203,314.2552435122645,22,3.723333333333333,Dientes de leche(0-28),8.782245349358832e-05,5083
5685,317.66797013864203,300.55693802583244,24,3.723333333333333,Dientes de leche(0-28),0.010388164699143,7443
2695,317.66797013864203,315.96160682545326,50,3.723333333333333,Señora(50-60),2.27476879580064e-05,3671
6255,317.691669629103,315.91420784453135,24,3.723611111111111,Dientes de leche(0-28),2.3113159063140023e-05,8110
8654,317.691669629103,304.20665955681955,48,3.723611111111111,WTF Happened(40-49),0.0037184793600048,10855
1702,317.691669629103,320.322313070269,49,3.723611111111111,WTF Happened(40-49),0.0015685599795126,2358
4523,317.71536911956395,309.2783505154639,33,3.723888888888889,Cancha Reglamentaria(29-39),0.0012989601512691,6035
101,317.71536911956395,314.49223841687405,29,3.723888888888889,Cancha Reglamentaria(29-39),8.186206596303635e-05,233
4276,317.7390686100249,313.44946083659204,44,3.7241666666666666,WTF Happened(40-49),0.000182675291611,5739
4899,317.7390686100249,315.91420784453135,31,3.7241666666666666,Cancha Reglamentaria(29-39),0.0001245451800331,6476
4524,317.7390686100249,309.2783505154639,37,3.7241666666666666,Cancha Reglamentaria(29-39),0.0012970660166471,6038
1709,317.76276810048586,315.4402180353122,48,3.7244444444444444,WTF Happened(40-49),0.000110236536598,2365
6131,317.76276810048586,310.795117904965,37,3.7244444444444444,Cancha Reglamentaria(29-39),0.0008212080843271,7960
1590,317.76276810048586,303.96966465221,42,3.7244444444444444,WTF Happened(40-49),0.0029345744003856,2215
3719,317.7864675909468,277.28403839317457,35,3.7247222222222223,Cancha Reglamentaria(29-39),0.0414149503822386,5007
5601,317.8338665718687,314.87143026424934,51,3.725277777777778,Señora(50-60),5.790653500966634e-05,7345
1899,317.8338665718687,296.5280246474701,50,3.725277777777778,Señora(50-60),0.0089247926621363,2631
5078,317.8338665718687,316.103803768219,42,3.725277777777778,WTF Happened(40-49),2.338630720192608e-05,6693
6496,317.8338665718687,307.0505984121341,34,3.725277777777778,Cancha Reglamentaria(29-39),0.0020317397834827,8383
7914,317.8575660623297,306.7188055456808,48,3.7255555555555557,WTF Happened(40-49),0.001931624350559,9989
5684,317.8575660623297,316.2460007109848,51,3.7255555555555557,Señora(50-60),2.5673799827539885e-05,7442
1351,317.88126555279064,314.539637397796,32,3.7258333333333336,Cancha Reglamentaria(29-39),7.8643672956151e-05,1894
6287,317.88126555279064,330.79748785401114,36,3.7258333333333336,Cancha Reglamentaria(29-39),0.005863917337022,8144
2089,317.88126555279064,312.4540822372319,58,3.7258333333333336,Señora(50-60),0.0003177413884959,2884
5016,317.88126555279064,317.4783742149544,43,3.7258333333333336,WTF Happened(40-49),0.0001406103851553,6612
994,317.88126555279064,322.2182723071454,47,3.7258333333333336,WTF Happened(40-49),0.0010763883450668,1412
2401,317.9049650432516,318.0945609669392,41,3.726111111111111,WTF Happened(40-49),0.0002039085958725,3300
3996,317.9523640241735,310.4159260575898,37,3.7266666666666666,Cancha Reglamentaria(29-39),0.0009881843290967,5376
4115,317.97606351463446,314.0182486076549,51,3.7269444444444444,Señora(50-60),0.0001720787901041,5528
5261,317.97606351463446,317.81016708140777,38,3.7269444444444444,Cancha Reglamentaria(29-39),0.0004430917039547,6912
787,317.99976300509536,296.00663585732906,37,3.727222222222222,Cancha Reglamentaria(29-39),0.0109953205919154,1124
3100,318.0471619860173,311.9800924280128,26,3.727777777777778,Dientes de leche(0-28),0.0003219545392873,4178
7350,318.0708614764782,306.055219812774,24,3.7280555555555557,Dientes de leche(0-28),0.0022205391526465,9352
5267,318.0708614764782,304.20665955681955,28,3.7280555555555557,Dientes de leche(0-28),0.0033237518886659,6918
7908,318.0708614764782,294.0632776395307,23,3.7280555555555557,Dientes de leche(0-28),0.0118022126371146,9983
8600,318.0708614764782,286.5742386538689,35,3.7280555555555557,Cancha Reglamentaria(29-39),0.0218935636300892,10796
7157,318.0945609669392,323.8772366394123,42,3.7283333333333335,WTF Happened(40-49),0.0016769112911347,9129
6746,318.11826045740014,307.4771892404313,37,3.7286111111111113,Cancha Reglamentaria(29-39),0.0016326390883392,8665
7681,318.11826045740014,312.64367816091954,34,3.7286111111111113,Cancha Reglamentaria(29-39),0.0002817672311042,9724
3823,318.11826045740014,309.04135561085434,24,3.7286111111111113,Dientes de leche(0-28),0.0009797641282311,5142
1704,318.213058419244,316.4355966346724,35,3.729722222222222,Cancha Reglamentaria(29-39),2.227579213030032e-05,2360
2017,318.213058419244,309.9893352292926,42,3.729722222222222,WTF Happened(40-49),0.0009689738440962,2798
8883,318.213058419244,308.709562744401,36,3.729722222222222,Cancha Reglamentaria(29-39),0.0012045919856151,11114
8219,318.2604574001659,283.7776987794762,43,3.730277777777778,WTF Happened(40-49),0.0299428218732211,10367
2590,318.3078563810878,291.36153572698186,56,3.7308333333333334,Señora(50-60),0.0140017127388337,3543
8650,318.33155587154874,321.1754947268633,31,3.7311111111111113,Cancha Reglamentaria(29-39),0.000334132887467,10851
4804,318.33155587154874,314.2552435122645,30,3.7311111111111113,Cancha Reglamentaria(29-39),0.0001362795633593,6365
7506,318.3552553620097,324.6356203341628,26,3.731388888888889,Dientes de leche(0-28),0.0017894327701504,9523
6474,318.37895485247066,313.970849626733,30,3.7316666666666665,Cancha Reglamentaria(29-39),0.0001527837058225,8359
613,318.37895485247066,306.57660860291503,43,3.7316666666666665,WTF Happened(40-49),0.0030047919286366,893
113,318.37895485247066,297.5708022277521,33,3.7316666666666665,Cancha Reglamentaria(29-39),0.0090510656363195,250
3226,318.4026543429316,295.0586562388909,34,3.7319444444444443,Cancha Reglamentaria(29-39),0.0119133717204437,4335
6555,318.42635383339257,314.58703637871787,28,3.732222222222222,Dientes de leche(0-28),9.18914432465496e-05,8448
1721,318.4737528143145,306.2922147173836,28,3.7327777777777778,Dientes de leche(0-28),0.0025139505682383,2383
3761,318.49745230477544,313.3072638938263,37,3.7330555555555556,Cancha Reglamentaria(29-39),0.0005183469780152,5068
2113,318.54485128569735,304.20665955681955,41,3.733611111111111,WTF Happened(40-49),0.0044634247596723,2918
8096,318.5685507761583,316.4829956155943,28,3.733888888888889,Dientes de leche(0-28),3.082226732611361e-05,10220
272,318.5685507761583,311.26910771418414,34,3.733888888888889,Cancha Reglamentaria(29-39),0.0014946751852364,456
8731,318.59225026661926,318.0471619860173,29,3.734166666666667,Cancha Reglamentaria(29-39),0.0002654015931005,10938
7341,318.6159497570802,323.45064581111507,37,3.7344444444444442,Cancha Reglamentaria(29-39),0.0016976844792292,9339
8094,318.6159497570802,316.4829956155943,40,3.7344444444444442,WTF Happened(40-49),3.042535604992032e-05,10218
7915,318.6396492475412,304.0170636331319,31,3.734722222222222,Cancha Reglamentaria(29-39),0.0034675154122198,9991
8103,318.6633487380021,316.53039459651615,32,3.735,Cancha Reglamentaria(29-39),3.2796698756424286e-05,10227
8630,318.6870482284631,315.96160682545326,33,3.7352777777777777,Cancha Reglamentaria(29-39),5.180377004196389e-05,10830
5439,318.6870482284631,313.9234506458111,32,3.7352777777777777,Cancha Reglamentaria(29-39),0.0012339876046711,7138
6991,318.71074771892404,309.84713828652684,40,3.7355555555555555,WTF Happened(40-49),0.0011540456516314,8944
2131,318.71074771892404,313.9234506458111,32,3.7355555555555555,Cancha Reglamentaria(29-39),0.001235216396961,2944
